article_id,entity,type,description,start,end
38,ngopur deri,PERSON,"People, including fictional",917,928
38,Supa,PERSON,"People, including fictional",938,942
38,deri në vaktin,PRODUCT,"Objects, vehicles, foods, etc. (not services)",1038,1052
38,nuk,PERSON,"People, including fictional",1075,1078
39,Stepan,PERSON,"People, including fictional",0,6
39,është rritur,FAC,"Buildings, airports, highways, bridges, etc.",29,41
39,Instagram,ORG,"Companies, agencies, institutions, etc.",96,105
39,Kur çifti del,PERSON,"People, including fictional",107,120
39,24,CARDINAL,Numerals that do not fall under another type,130,132
39,Çifti,PERSON,"People, including fictional",218,223
39,Stepanin kur ishte,PERSON,"People, including fictional",246,264
39,tre muajsh,PERSON,"People, including fictional",265,275
39,dhe sot ai ha,PERSON,"People, including fictional",277,290
39,25 kg,QUANTITY,"Measurements, as of weight or distance",291,296
39,Ariu,PERSON,"People, including fictional",418,422
39,ku kishte rol kryesor,PERSON,"People, including fictional",459,480
39,Tashmë,ORG,"Companies, agencies, institutions, etc.",482,488
39,Instagram,ORG,"Companies, agencies, institutions, etc.",526,535
39,2000,CARDINAL,Numerals that do not fall under another type,586,590
40,Fillloreta Raçi,PERSON,"People, including fictional",0,15
40,Fifi,PRODUCT,"Objects, vehicles, foods, etc. (not services)",41,45
40,Luan,PERSON,"People, including fictional",141,145
40,filloi sezoni,ORG,"Companies, agencies, institutions, etc.",183,196
40,ri,GPE,"Countries, cities, states",199,201
40,nxiti,GPE,"Countries, cities, states",272,277
40,rreth asaj që,PERSON,"People, including fictional",291,304
40,marrëdhëniet,NORP,Nationalities or religious or political groups,305,317
40,Fifit,ORG,"Companies, agencies, institutions, etc.",322,327
40,nuk janë,PERSON,"People, including fictional",339,347
40,Fifi,PERSON,"People, including fictional",383,387
40,saj ishte,ORG,"Companies, agencies, institutions, etc.",434,443
40,2017-,CARDINAL,Numerals that do not fall under another type,468,473
40,2018,DATE,Absolute or relative dates or periods,482,486
40,nuk kishte,PERSON,"People, including fictional",491,501
40,mvut nbela,PERSON,"People, including fictional",582,592
40,bukur,GPE,"Countries, cities, states",623,628
40,Luana Vjollca,PERSON,"People, including fictional",629,642
40,Zotit,PERSON,"People, including fictional",668,673
40,qe,PERSON,"People, including fictional",691,693
40,Top Channel..,ORG,"Companies, agencies, institutions, etc.",726,739
40,qe kam,PERSON,"People, including fictional",756,762
40,Fifi,ORG,"Companies, agencies, institutions, etc.",803,807
41,F-35,PRODUCT,"Objects, vehicles, foods, etc. (not services)",60,64
41,ku një,PERSON,"People, including fictional",66,72
41,tyre është,PERSON,"People, including fictional",78,88
41,Karolinën,PERSON,"People, including fictional",100,109
41,Jugut,GPE,"Countries, cities, states",112,117
41,tha trupat,ORG,"Companies, agencies, institutions, etc.",119,129
41,Ndërkohë,GPE,"Countries, cities, states",138,146
41,parashutë,NORP,Nationalities or religious or political groups,173,182
41,para se avioni,PERSON,"People, including fictional",183,197
41,kanë nisur,GPE,"Countries, cities, states",254,264
41,janë avionët,PERSON,"People, including fictional",335,347
41,3,CARDINAL,Numerals that do not fall under another type,423,424
41,100,CARDINAL,Numerals that do not fall under another type,588,591
42,Interi,ORG,"Companies, agencies, institutions, etc.",0,6
42,plota,GPE,"Countries, cities, states",27,32
42,kundër Cagliarit,PERSON,"People, including fictional",51,67
42,12,CARDINAL,Numerals that do not fall under another type,144,146
42,Martinezit,PERSON,"People, including fictional",162,172
42,Politano,PERSON,"People, including fictional",238,246
42,2,CARDINAL,Numerals that do not fall under another type,269,270
42,Interi,ORG,"Companies, agencies, institutions, etc.",274,280
42,13,CARDINAL,Numerals that do not fall under another type,303,305
42,16,CARDINAL,Numerals that do not fall under another type,335,337
42,6,CARDINAL,Numerals that do not fall under another type,341,342
43,SHBA,ORG,"Companies, agencies, institutions, etc.",63,67
43,Donald Trump,PERSON,"People, including fictional",72,84
43,Lie To Me,PERSON,"People, including fictional",153,162
43,Walls,PERSON,"People, including fictional",194,199
43,2,CARDINAL,Numerals that do not fall under another type,250,251
44,Reperi,GPE,"Countries, cities, states",0,6
44,Prishtina,GPE,"Countries, cities, states",11,20
44,Milot Hoxha,ORG,"Companies, agencies, institutions, etc.",22,33
44,njohur si Taste2,ORG,"Companies, agencies, institutions, etc.",36,52
44,është kënga,PERSON,"People, including fictional",101,112
44,kësaj kënge e ka,PERSON,"People, including fictional",135,151
44,vet reperi,PERSON,"People, including fictional",160,170
44,Plisi,NORP,Nationalities or religious or political groups,197,202
44,Djemt e Abdullahit,ORG,"Companies, agencies, institutions, etc.",257,275
45,Vizita,PERSON,"People, including fictional",0,6
45,Bërnjakut,ORG,"Companies, agencies, institutions, etc.",36,45
45,Ujmanit,ORG,"Companies, agencies, institutions, etc.",62,69
46,muzikës në botë,ORG,"Companies, agencies, institutions, etc.",46,61
46,BBC Radio 4,ORG,"Companies, agencies, institutions, etc.",67,78
46,Superylli,PERSON,"People, including fictional",81,90
46,Beyonce,GPE,"Countries, cities, states",111,118
46,40,CARDINAL,Numerals that do not fall under another type,152,154
46,Taylor Suift,PERSON,"People, including fictional",246,258
46,Adele,PERSON,"People, including fictional",260,265
46,Dua Lipa,PERSON,"People, including fictional",270,278
46,janë,PERSON,"People, including fictional",288,292
46,Ditës Muzikore,PERSON,"People, including fictional",356,370
46,BBC,ORG,"Companies, agencies, institutions, etc.",374,377
46,40,CARDINAL,Numerals that do not fall under another type,383,385
46,nuk përfshin vetëm ato që,PERSON,"People, including fictional",391,416
46,këngët,PERSON,"People, including fictional",479,485
47,Nëse,ORG,"Companies, agencies, institutions, etc.",0,4
47,sytë janë pasqyrë,PERSON,"People, including fictional",5,22
47,janë pasqyrë,PERSON,"People, including fictional",42,54
47,çfarë hamë apo pijmë,PERSON,"People, including fictional",159,179
47,Cilat,PERSON,"People, including fictional",234,239
47,Ariel Ostad,PERSON,"People, including fictional",345,356
47,10,CARDINAL,Numerals that do not fall under another type,415,417
47,prej,ORG,"Companies, agencies, institutions, etc.",418,422
47,Limonatat,ORG,"Companies, agencies, institutions, etc.",429,438
47,Mishi,GPE,"Countries, cities, states",457,462
47,Qoftet,PERSON,"People, including fictional",488,494
47,Alkooli Embelsirat,PERSON,"People, including fictional",529,547
48,Madrid,GPE,"Countries, cities, states",5,11
48,Atletico Madrid,PERSON,"People, including fictional",16,31
48,kanë luajtur,PERSON,"People, including fictional",32,44
48,0,CARDINAL,Numerals that do not fall under another type,53,54
48,Madridit,PERSON,"People, including fictional",76,84
48,La Ligas,GPE,"Countries, cities, states",118,126
48,kishte,PERSON,"People, including fictional",149,155
48,Real Madridit,ORG,"Companies, agencies, institutions, etc.",196,209
48,Atletico Madridit,PERSON,"People, including fictional",214,231
48,Santiago Bernabeu,PERSON,"People, including fictional",236,253
48,Tifozët,PERSON,"People, including fictional",256,263
48,Bernabeu,PERSON,"People, including fictional",267,275
48,Antoine Griezmann,FAC,"Buildings, airports, highways, bridges, etc.",431,448
48,Thibaut Courtois,ORG,"Companies, agencies, institutions, etc.",470,486
48,Asensio e Bale,PERSON,"People, including fictional",588,602
48,kalohej,GPE,"Countries, cities, states",628,635
48,muri,GPE,"Countries, cities, states",637,641
48,Oblak,PERSON,"People, including fictional",662,667
48,skuadrat,NORP,Nationalities or religious or political groups,684,692
48,0,CARDINAL,Numerals that do not fall under another type,714,715
49,Shërbimi Doganor,PERSON,"People, including fictional",0,16
49,njoftuar se zyrtarët e saj kanë,ORG,"Companies, agencies, institutions, etc.",33,64
49,712,PRODUCT,"Objects, vehicles, foods, etc. (not services)",76,79
49,kilogramë heroinë,PERSON,"People, including fictional",80,97
49,Bullgari,ORG,"Companies, agencies, institutions, etc.",150,158
49,Turqia,GPE,"Countries, cities, states",163,169
49,Doganierët,PERSON,"People, including fictional",171,181
49,përcaktuan në,ORG,"Companies, agencies, institutions, etc.",202,215
49,23,CARDINAL,Numerals that do not fall under another type,222,224
49,kalimin kufitar,PERSON,"People, including fictional",287,302
49,Kapitan Andreevo,PERSON,"People, including fictional",303,319
49,Austrinë,ORG,"Companies, agencies, institutions, etc.",389,397
49,Prokurori,PERSON,"People, including fictional",399,408
49,Haskovo,ORG,"Companies, agencies, institutions, etc.",428,435
49,Ivan Stojanov,PERSON,"People, including fictional",437,450
49,mbyllura,ORG,"Companies, agencies, institutions, etc.",485,493
49,Anadolu Agency,ORG,"Companies, agencies, institutions, etc.",574,588
49,20,CARDINAL,Numerals that do not fall under another type,653,655
50,kanë humbur,PERSON,"People, including fictional",11,22
50,tyre,PERSON,"People, including fictional",83,87
50,shtunën,ORG,"Companies, agencies, institutions, etc.",120,127
50,Franklin Ruzvelt” ku,PERSON,"People, including fictional",139,159
50,kanë,PERSON,"People, including fictional",202,206
50,armë zjarri,PERSON,"People, including fictional",217,228
50,Seat Altea,PERSON,"People, including fictional",242,252
50,jetë,PERSON,"People, including fictional",348,352
50,Naim Ajeti nga Hasanbegu,PERSON,"People, including fictional",353,377
50,kanë mbetur,PERSON,"People, including fictional",398,409
50,personat,CARDINAL,Numerals that do not fall under another type,413,421
50,F. A. dhe A. P,PERSON,"People, including fictional",448,462
50,Maqedoni,ORG,"Companies, agencies, institutions, etc.",481,489
50,A.P. nuk,PERSON,"People, including fictional",549,557
50,t’i përballojë plagët,PERSON,"People, including fictional",568,589
50,jetë,PERSON,"People, including fictional",610,614
50,është jashtë rrezikut,ORG,"Companies, agencies, institutions, etc.",642,663
50,jetë,PERSON,"People, including fictional",668,672
50,30,CARDINAL,Numerals that do not fall under another type,686,688
50,konstatua vdekja,PERSON,"People, including fictional",833,849
50,edhe përkrah,PERSON,"People, including fictional",940,952
50,Ndërsa,PERSON,"People, including fictional",1057,1063
50,nënshtrua ndërhyrjes kirurgjikale deri në orët,ORG,"Companies, agencies, institutions, etc.",1084,1130
50,dhe,ORG,"Companies, agencies, institutions, etc.",1155,1158
50,momentin,PERSON,"People, including fictional",1163,1171
50,Albet Lleshi,PERSON,"People, including fictional",1267,1279
50,Motivi,GPE,"Countries, cities, states",1281,1287
50,kësaj vrasje,PERSON,"People, including fictional",1290,1302
50,nuk dihet,PERSON,"People, including fictional",1308,1317
50,Policia,PERSON,"People, including fictional",1319,1326
50,ngjarjes dhe,PERSON,"People, including fictional",1350,1362
50,heton sulmuesit,ORG,"Companies, agencies, institutions, etc.",1366,1381
50,si dhe motivet,ORG,"Companies, agencies, institutions, etc.",1383,1397
50,Prokurorit Publik,ORG,"Companies, agencies, institutions, etc.",1434,1451
50,vdekur,NORP,Nationalities or religious or political groups,1478,1484
50,autopsi,PERSON,"People, including fictional",1500,1507
50,Institutin,GPE,"Countries, cities, states",1511,1521
50,Mjekësisë Ligjore,ORG,"Companies, agencies, institutions, etc.",1524,1541
50,Kriminalistikës,PERSON,"People, including fictional",1543,1558
50,Deontologjisë,ORG,"Companies, agencies, institutions, etc.",1563,1576
50,SeatAltea,ORG,"Companies, agencies, institutions, etc.",1599,1608
